postagem_id,postagem,comentario,sentimento,curtidas,reacoes,tipo_postagem,url_imagem,url_video,data_postagem,data_comentario,usuario_postagem_id,usuario_comentario_id,compartilhamentos,visualizacoes,localizacao,lingua
0,A nova linha de óculos de sol chegou!,Estou decepcionado com essa compra.,negativo,883,418,imagem,https://example.com/imagem_0.jpg,,2023-04-20 22:35:01.459682,2023-04-21 15:35:01.459682,5381,2720,979,8179,São Paulo,pt_BR
0,A nova linha de óculos de sol chegou!,"Parece bom, mas preciso pensar mais.",neutro,883,418,imagem,https://example.com/imagem_0.jpg,,2022-12-29 22:35:01.459701,2022-12-31 01:35:01.459701,4220,4589,972,9199,Belo Horizonte,pt_BR
0,A nova linha de óculos de sol chegou!,Não achei nada especial.,negativo,883,418,imagem,https://example.com/imagem_0.jpg,,2023-10-03 22:35:01.459705,2023-10-04 10:35:01.459705,7901,3790,880,5637,Belo Horizonte,pt_BR
0,A nova linha de óculos de sol chegou!,"Infelizmente, isso não atendeu às minhas expectativas.",negativo,883,418,imagem,https://example.com/imagem_0.jpg,,2023-11-21 22:35:01.459707,2023-11-23 23:35:01.459707,9057,4519,5,2570,Belo Horizonte,pt_BR
0,A nova linha de óculos de sol chegou!,Eu amo esses produtos!,positivo,883,418,imagem,https://example.com/imagem_0.jpg,,2022-12-31 22:35:01.459709,2023-01-03 21:35:01.459709,1450,3442,788,4448,São Paulo,pt_BR
0,A nova linha de óculos de sol chegou!,Eu amo esses produtos!,positivo,883,418,imagem,https://example.com/imagem_0.jpg,,2023-04-12 22:35:01.459712,2023-04-13 09:35:01.459712,5921,2483,382,7720,,pt_BR
0,A nova linha de óculos de sol chegou!,Vou recomendar para todos os meus amigos!,positivo,883,418,imagem,https://example.com/imagem_0.jpg,,2023-10-30 22:35:01.459714,2023-11-01 15:35:01.459714,8543,5653,789,3689,São Paulo,pt_BR
1,50% de desconto em todas as calças jeans!,"Parece bom, mas preciso pensar mais.",neutro,185,43,texto,,,2023-02-01 22:35:01.459717,2023-02-04 21:35:01.459717,4223,1443,90,4581,Belo Horizonte,pt_BR
1,50% de desconto em todas as calças jeans!,Não achei nada especial.,negativo,185,43,texto,,,2023-02-19 22:35:01.459719,2023-02-22 18:35:01.459719,3980,2790,416,4880,Belo Horizonte,pt_BR
2,Conheça nossas novas fragrâncias exclusivas!,"Incrível, essa é a melhor compra do ano!",positivo,700,214,imagem,https://example.com/imagem_2.jpg,,2023-07-30 22:35:01.459721,2023-08-01 07:35:01.459721,3861,5758,377,629,Rio de Janeiro,pt_BR
2,Conheça nossas novas fragrâncias exclusivas!,"Fantástico, já comprei o meu!",positivo,700,214,imagem,https://example.com/imagem_2.jpg,,2023-05-09 22:35:01.459725,2023-05-10 06:35:01.459725,1963,7915,689,5525,Rio de Janeiro,pt_BR
2,Conheça nossas novas fragrâncias exclusivas!,"Parece bom, mas preciso pensar mais.",neutro,700,214,imagem,https://example.com/imagem_2.jpg,,2023-07-16 22:35:01.459727,2023-07-19 03:35:01.459727,9894,7751,470,705,Belo Horizonte,pt_BR
2,Conheça nossas novas fragrâncias exclusivas!,Essa loja nunca decepciona!,positivo,700,214,imagem,https://example.com/imagem_2.jpg,,2023-08-15 22:35:01.459729,2023-08-18 07:35:01.459729,6630,8689,519,2114,Belo Horizonte,pt_BR
2,Conheça nossas novas fragrâncias exclusivas!,Estava esperando algo melhor desta marca.,negativo,700,214,imagem,https://example.com/imagem_2.jpg,,2023-09-15 22:35:01.459731,2023-09-18 12:35:01.459731,2187,3012,418,7117,São Paulo,pt_BR
2,Conheça nossas novas fragrâncias exclusivas!,Estou decepcionado com essa compra.,negativo,700,214,imagem,https://example.com/imagem_2.jpg,,2023-09-19 22:35:01.459733,2023-09-21 15:35:01.459733,7987,3145,695,2375,,pt_BR
2,Conheça nossas novas fragrâncias exclusivas!,Talvez eu compre mais tarde.,neutro,700,214,imagem,https://example.com/imagem_2.jpg,,2022-12-31 22:35:01.459735,2023-01-01 16:35:01.459735,1677,8139,659,4917,Rio de Janeiro,pt_BR
3,Nossas novas camisas são imperdíveis!,Não tenho certeza se isso é para mim.,neutro,212,110,imagem,https://example.com/imagem_3.jpg,,2023-06-01 22:35:01.459738,2023-06-03 20:35:01.459738,5692,1224,339,8207,Belo Horizonte,pt_BR
3,Nossas novas camisas são imperdíveis!,Não achei nada especial.,negativo,212,110,imagem,https://example.com/imagem_3.jpg,,2023-07-12 22:35:01.459740,2023-07-13 02:35:01.459740,3417,5914,108,4678,Belo Horizonte,pt_BR
3,Nossas novas camisas são imperdíveis!,Não achei nada especial.,negativo,212,110,imagem,https://example.com/imagem_3.jpg,,2023-04-20 22:35:01.459742,2023-04-21 21:35:01.459742,1161,5765,159,5642,São Paulo,pt_BR
3,Nossas novas camisas são imperdíveis!,Eu amo esses produtos!,positivo,212,110,imagem,https://example.com/imagem_3.jpg,,2023-09-26 22:35:01.459744,2023-09-27 07:35:01.459744,1819,5314,251,6469,Belo Horizonte,pt_BR
3,Nossas novas camisas são imperdíveis!,Essa loja nunca decepciona!,positivo,212,110,imagem,https://example.com/imagem_3.jpg,,2023-06-02 22:35:01.459747,2023-06-05 01:35:01.459747,4084,1678,210,9111,São Paulo,pt_BR
3,Nossas novas camisas são imperdíveis!,Não achei nada especial.,negativo,212,110,imagem,https://example.com/imagem_3.jpg,,2023-11-16 22:35:01.459749,2023-11-19 16:35:01.459749,5197,2401,519,6825,,pt_BR
3,Nossas novas camisas são imperdíveis!,"Parece bom, mas preciso pensar mais.",neutro,212,110,imagem,https://example.com/imagem_3.jpg,,2023-05-10 22:35:01.459751,2023-05-12 12:35:01.459751,9230,4384,456,6177,Rio de Janeiro,pt_BR
4,A coleção de verão está agora disponível!,"Incrível, essa é a melhor compra do ano!",positivo,394,489,imagem,https://example.com/imagem_4.jpg,,2023-04-13 22:35:01.459753,2023-04-14 04:35:01.459753,6996,3896,212,8755,Rio de Janeiro,pt_BR
5,Confira nossos novos sapatos esportivos!,Estou decepcionado com essa compra.,negativo,951,69,imagem,https://example.com/imagem_5.jpg,,2022-12-11 22:35:01.459755,2022-12-14 17:35:01.459755,3457,3435,479,129,Rio de Janeiro,pt_BR
