postagem_id,postagem,comentario,sentimento,curtidas,reacoes,data_postagem,data_comentario,usuario_postagem_id,usuario_comentario_id,compartilhamentos,visualizacoes,tipo_postagem,url_imagem,url_video,localizacao,lingua
0,A nova linha de óculos de sol chegou!,"Parece bom, mas preciso pensar mais.",neutro,573,305,2023-04-16 22:42:00.228110,2023-04-19 21:42:00.228110,2389,7828,919,1590,texto,,,Belo Horizonte,pt_BR
0,A nova linha de óculos de sol chegou!,Não tenho certeza se isso é para mim.,neutro,573,305,2023-02-05 22:42:00.228132,2023-02-08 11:42:00.228132,7966,6602,60,3784,vídeo,,https://example.com/video_100.mp4,Rio de Janeiro,pt_BR
0,A nova linha de óculos de sol chegou!,Vou recomendar para todos os meus amigos!,positivo,573,305,2022-12-01 22:42:00.228137,2022-12-03 23:42:00.228137,4607,1165,666,5161,texto,,,Rio de Janeiro,pt_BR
0,A nova linha de óculos de sol chegou!,"Incrível, essa é a melhor compra do ano!",positivo,573,305,2023-08-06 22:42:00.228142,2023-08-08 22:42:00.228142,9670,6405,950,7231,vídeo,,https://example.com/video_62.mp4,São Paulo,pt_BR
0,A nova linha de óculos de sol chegou!,Não vale o preço.,negativo,573,305,2023-05-16 22:42:00.228145,2023-05-18 16:42:00.228145,6079,9739,143,1229,texto,,,São Paulo,pt_BR
0,A nova linha de óculos de sol chegou!,Eu amo esses produtos!,positivo,573,305,2023-07-13 22:42:00.228149,2023-07-16 00:42:00.228149,3865,1944,444,4249,imagem,https://example.com/imagem_231.jpg,,Belo Horizonte,pt_BR
0,A nova linha de óculos de sol chegou!,"Fantástico, já comprei o meu!",positivo,573,305,2023-08-19 22:42:00.228153,2023-08-22 10:42:00.228153,5525,5143,929,5414,texto,,,Rio de Janeiro,pt_BR
0,A nova linha de óculos de sol chegou!,"Parece bom, mas preciso pensar mais.",neutro,573,305,2023-05-01 22:42:00.228156,2023-05-04 07:42:00.228156,8073,2107,742,9609,imagem,https://example.com/imagem_37.jpg,,São Paulo,pt_BR
0,A nova linha de óculos de sol chegou!,Estou decepcionado com essa compra.,negativo,573,305,2022-10-11 22:42:00.228160,2022-10-14 15:42:00.228160,9552,4601,541,7551,texto,,,,pt_BR
0,A nova linha de óculos de sol chegou!,"Infelizmente, isso não atendeu às minhas expectativas.",negativo,573,305,2023-05-31 22:42:00.228163,2023-06-01 18:42:00.228163,9245,6188,425,7210,texto,,,Belo Horizonte,pt_BR
0,A nova linha de óculos de sol chegou!,Estou decepcionado com essa compra.,negativo,316,435,2022-11-16 22:42:00.228168,2022-11-18 15:42:00.228168,5808,4252,92,4176,texto,,,Belo Horizonte,pt_BR
0,A nova linha de óculos de sol chegou!,"Parece bom, mas preciso pensar mais.",neutro,316,435,2022-11-17 22:42:00.228172,2022-11-18 16:42:00.228172,7986,4224,270,1838,vídeo,,https://example.com/video_460.mp4,Belo Horizonte,pt_BR
0,A nova linha de óculos de sol chegou!,Estava esperando algo melhor desta marca.,negativo,316,435,2023-04-12 22:42:00.228175,2023-04-13 07:42:00.228175,6262,9918,546,6150,imagem,https://example.com/imagem_279.jpg,,São Paulo,pt_BR
